,neighbourhood_cleansed,review_scores_cleanliness,review_scores_checkin,availability_60,host_total_listings_count,maximum_nights,review_scores_communication,beds,calculated_host_listings_count_entire_homes,review_scores_rating,number_of_reviews,bedrooms,calculated_host_listings_count_private_rooms,number_of_reviews_l30d,review_scores_value,availability_30,review_scores_location,availability_90,accommodates,host_listings_count,number_of_reviews_ltm,latitude,minimum_nights,availability_365,calculated_host_listings_count,price,review_scores_accuracy,longitude
0,la Sagrada Família,4.61,4.76,19,48.0,1125,4.68,6.0,28.0,4.37,42.0,3.0,0.0,0.0,4.32,6,4.78,42,3.0,43.0,3.0,41.40556,1.0,72,28.0,194.0,4.46,2.17262
1,el Besòs i el Maresme,4.9,4.94,28,13.0,32,4.99,4.0,1.0,4.79,79.0,3.0,0.0,0.0,4.64,10,4.62,58,5.0,6.0,7.0,41.41243172529066,3.0,116,1.0,304.0,4.94,2.2
2,el Camp d'en Grassot i Gràcia Nova,4.4,4.89,20,15.0,31,4.88,3.0,3.0,4.46,18.0,2.0,0.0,0.3,4.49,8,4.88,48,6.0,3.0,32.0,41.40566,1.0,319,3.0,211.0,4.45,2.17015
3,el Barri Gòtic,4.59,4.59,39,4.0,120,4.82,1.0,3.0,4.47,20.0,1.0,0.0,1.0,4.35,16,4.76,69,2.0,4.0,12.0,41.38062,5.0,69,3.0,300.0,4.59,2.17517
4,el Barri Gòtic,4.64,4.67,35,4.0,365,4.7,6.0,3.0,4.53,18.0,1.5,0.0,0.3,4.42,9,4.67,65,3.0,4.0,37.0,41.37978,5.0,241,3.0,314.0,4.59,2.17623
5,"Sant Pere, Santa Caterina i la Ribera",4.84,4.91,32,3.0,365,4.94,2.0,1.0,4.85,104.0,1.0,0.0,0.0,4.76,2,4.88,62,2.0,1.0,0.0,41.38512,30.0,337,1.0,87.0,4.85,2.18109
6,la Barceloneta,4.71,4.93,0,1.0,65,4.92,2.0,0.0,4.79,108.0,1.0,1.0,0.0,4.82,0,4.92,0,1.0,1.0,2.0,41.38043,31.0,0,1.0,128.0,4.88,2.19094
7,la Dreta de l'Eixample,4.5,4.82,0,16.0,364,4.82,2.0,4.0,4.46,18.0,1.0,3.0,0.3,4.45,0,4.89,15,4.0,12.0,6.7,41.39631,2.0,278,7.0,164.0,4.55,2.16832
8,el Camp d'en Grassot i Gràcia Nova,4.17,4.51,23,8.0,365,4.46,4.0,3.0,4.26,94.0,2.0,0.0,0.0,4.15,8,4.67,53,4.0,7.0,20.0,41.40568,3.0,295,3.0,190.0,4.36,2.16943
9,el Camp d'en Grassot i Gràcia Nova,4.43,4.92,15,15.0,31,4.95,2.2,3.0,4.65,112.0,2.0,0.0,2.0,4.59,8,4.86,34,6.0,3.0,29.0,41.4057,1.0,305,3.0,240.0,4.81,2.17016
10,el Camp de l'Arpa del Clot,4.45,4.66,0,1.0,90,4.77,3.0,1.0,4.48,18.0,3.0,0.0,1.0,4.5,0,4.8,0,5.0,1.0,12.0,41.41129,10.0,10,1.0,144.0,4.52,2.18193
11,Sant Antoni,4.39,4.88,9,4.0,6,4.85,2.0,0.0,4.65,18.0,1.0,1.0,2.0,4.73,4,4.83,31,2.0,3.0,6.7,41.37793,3.0,303,1.0,128.0,4.75,2.15978
12,el Poblenou,4.7,4.61,35,8.0,200,4.65,3.0,3.0,4.17,115.0,2.0,0.0,0.0,4.09,10,4.8,65,5.0,6.0,12.0,41.40349,1.0,334,3.0,191.0,4.3,2.20414
13,la Vila Olímpica del Poblenou,4.39,4.99,35,15.0,365,4.99,2.0,12.0,4.66,71.0,1.0,0.0,2.0,4.31,13,4.83,65,4.0,12.0,20.0,41.39253234863281,1.0,98,12.0,209.0,4.69,2.19325590133667
14,les Corts,5.0,5.0,60,18.5,1125,5.0,2.0,6.7,5.0,1.0,1.0,0.0,0.0,5.0,30,5.0,90,2.0,13.8,0.0,41.3826,31.0,365,13.1,120.0,5.0,2.13075
15,la Vila de Gràcia,4.4,4.6,11,58.0,1125,5.0,4.0,39.0,4.2,5.0,2.0,0.0,1.0,4.2,3,4.6,29,6.0,41.0,2.0,41.40172,6.0,56,39.0,219.0,4.6,2.16322
16,la Dreta de l'Eixample,4.4,4.84,28,58.0,1125,4.84,1.0,39.0,4.4,43.0,1.0,0.0,0.0,4.12,7,4.74,58,4.0,41.0,9.0,41.39993,3.0,85,39.0,181.0,4.42,2.16536
17,la Vila de Gràcia,4.66,4.85,34,58.0,1125,4.83,5.0,39.0,4.54,41.0,3.0,0.0,1.0,4.34,15,4.83,64,7.0,41.0,9.0,41.40735,3.0,91,39.0,191.0,4.76,2.15885
18,el Barri Gòtic,4.3,4.92,58,5.0,730,4.93,2.0,2.0,4.74,92.0,2.0,0.0,0.0,4.68,28,4.92,88,4.0,2.0,0.0,41.3806,31.0,363,2.0,150.0,4.64,2.17796
19,Vallcarca i els Penitents,5.0,5.0,58,2.0,28,5.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,5.0,28,4.8,88,3.0,1.0,0.0,41.41841,5.0,363,1.0,128.0,4.7,2.13307
20,la Dreta de l'Eixample,4.47,4.45,25,18.0,1125,4.61,1.0,3.0,4.23,82.0,1.0,0.0,0.0,4.14,7,4.56,51,2.0,3.0,3.0,41.39705,3.0,326,3.0,186.0,4.7,2.17469
21,el Raval,4.7,4.8,8,13.0,32,4.8,5.0,11.0,4.7,10.0,1.5,0.0,0.0,4.5,4,4.8,36,4.0,11.0,1.0,41.38174,31.0,311,11.0,68.0,4.7,2.16663
22,la Vila de Gràcia,4.55,4.78,22,58.0,1125,4.82,4.0,39.0,4.49,117.0,3.0,0.0,2.0,4.38,7,4.9,44,7.0,41.0,31.0,41.40399,3.0,67,39.0,196.0,4.62,2.15565
23,la Font de la Guatlla,4.8,4.8,0,3.0,1125,5.0,2.0,0.0,4.6,6.0,1.0,1.0,0.0,4.5,0,4.83,0,2.0,1.0,0.0,41.37184,2.0,0,1.0,128.0,4.6,2.14799
24,el Barri Gòtic,4.56,4.63,57,3.0,120,4.53,0.0,0.0,4.58,32.0,1.0,1.0,0.0,4.66,27,4.97,87,3.0,1.0,0.0,41.38512,31.0,87,1.0,70.0,4.69,2.17129
25,el Parc i la Llacuna del Poblenou,5.0,5.0,49,4.0,210,5.0,1.0,0.0,4.76,17.0,1.0,1.0,0.0,5.0,19,5.0,79,4.0,3.0,0.0,41.3922,7.0,354,1.0,200.0,5.0,2.18805
26,la Barceloneta,4.7,4.8,60,18.5,1125,4.8,2.0,6.7,4.7,3.0,1.0,0.0,0.0,4.0,30,5.0,90,3.0,13.8,1.0,41.3764,2.0,365,13.1,128.0,4.67,2.19102
27,el Fort Pienc,4.61,4.74,12,34.0,1125,4.73,4.0,14.0,4.58,93.0,3.0,0.0,0.0,4.38,3,4.77,33,6.0,14.0,11.0,41.39271,1.0,305,14.0,229.0,4.62,2.17974
28,la Nova Esquerra de l'Eixample,4.66,4.75,14,11.0,90,4.77,4.0,1.0,4.74,18.0,2.0,0.0,0.3,4.55,4,4.75,18,5.0,7.0,40.0,41.38184,2.0,263,1.0,167.0,4.78,2.15119
29,"Sant Pere, Santa Caterina i la Ribera",4.56,4.74,1,2.0,1125,4.89,4.0,1.0,4.57,18.0,2.0,0.0,0.0,4.55,1,4.98,8,6.0,1.0,3.0,41.38422,1.0,191,1.0,176.0,4.7,2.18412
30,el Poblenou,4.77,4.76,59,9.0,28,4.8,2.0,6.0,4.73,18.0,1.0,0.0,0.3,4.51,29,4.79,89,3.0,6.0,6.7,41.39909,1.0,231,6.0,258.0,4.71,2.20733
31,el Raval,4.7,5.0,29,13.0,32,5.0,2.0,11.0,5.0,1.0,2.0,0.0,0.0,4.0,0,4.8,59,2.0,11.0,0.0,41.38104,31.0,334,11.0,60.0,5.0,2.16565
32,el Raval,4.7,4.8,60,13.0,32,4.8,1.0,11.0,4.33,7.0,1.0,0.0,0.0,4.5,30,4.8,90,2.0,11.0,0.0,41.38214,31.0,365,11.0,60.0,4.7,2.16568
33,el Camp d'en Grassot i Gràcia Nova,4.41,4.84,10,15.0,31,4.9,2.2,3.0,4.57,18.0,1.5,0.0,2.0,4.52,6,4.79,29,3.0,3.0,37.0,41.40554,1.0,297,3.0,133.4,4.51,2.17017
34,el Clot,4.37,4.9,14,10.0,330,4.91,4.0,10.0,4.45,110.0,3.0,0.0,0.3,4.36,7,4.76,43,6.0,10.0,28.0,41.40682,3.0,69,10.0,181.0,4.57,2.18649
35,el Poble Sec,4.72,4.81,3,1.0,1125,4.87,3.0,1.0,4.66,18.0,3.0,0.0,2.0,4.62,0,4.71,33,5.0,1.0,19.0,41.37371,5.0,196,1.0,140.0,4.76,2.16706
36,la Vila de Gràcia,4.92,4.99,9,3.0,9,4.99,4.0,1.0,4.9,18.0,3.0,0.0,0.3,4.86,3,4.96,34,3.0,1.0,6.7,41.40508,2.0,230,1.0,212.0,4.93,2.15491
37,Diagonal Mar i el Front Marítim del Poblenou,4.58,4.91,8,17.0,1125,4.88,2.0,5.0,4.69,18.0,2.0,0.0,0.3,4.64,2,4.67,31,4.0,5.0,6.7,41.40502,2.0,211,5.0,150.0,4.79,2.20802
38,la Barceloneta,4.84,4.91,0,4.0,150,4.94,2.0,1.0,4.73,32.0,1.0,1.0,0.0,4.74,0,4.71,0,2.0,2.0,0.0,41.38428,31.0,0,2.0,128.0,4.84,2.19576
39,el Raval,4.39,4.52,15,21.0,350,4.67,1.0,1.0,4.2,25.0,2.0,0.0,0.0,4.13,15,4.54,15,2.0,2.0,0.0,41.37961,32.0,248,1.0,60.0,4.26,2.17306
40,Sant Antoni,4.66,4.72,12,2.0,15,4.77,2.0,1.0,4.67,18.0,2.0,0.0,0.3,4.56,1,4.79,42,4.0,1.0,6.7,41.375553476091895,2.0,310,1.0,221.0,4.71,2.1625359295673867
41,la Nova Esquerra de l'Eixample,4.59,4.78,30,5.0,1125,4.83,3.0,3.0,4.69,18.0,3.0,0.0,0.0,4.57,5,4.83,60,4.0,3.0,13.0,41.37911,1.0,335,3.0,265.0,4.84,2.15356
42,"Sant Pere, Santa Caterina i la Ribera",4.8,5.0,60,18.5,365,5.0,2.0,6.7,4.8,5.0,3.0,0.0,1.0,5.0,30,5.0,90,6.0,13.8,3.0,41.38545,31.0,365,13.1,128.0,4.8,2.18117
43,Sant Antoni,4.73,4.47,21,6.0,365,4.72,1.0,0.0,4.39,18.0,1.0,3.0,0.0,4.32,6,4.83,21,2.0,3.0,13.0,41.38237,3.0,21,3.0,95.0,4.37,2.16146
44,el Raval,4.52,4.88,10,9.0,1000,4.92,2.2,6.0,4.72,25.0,3.0,0.0,0.0,4.44,0,4.8,27,3.0,6.0,2.0,41.37861,6.0,288,6.0,133.4,4.64,2.16737
45,la Dreta de l'Eixample,4.82,4.91,22,76.0,365,4.91,2.0,6.7,4.8,18.0,1.0,0.0,2.0,4.72,9,4.93,24,3.0,68.0,6.7,41.39224,1.0,292,66.0,169.0,4.85,2.17806
46,el Barri Gòtic,4.75,5.0,53,18.5,1125,4.75,2.0,6.7,4.75,4.0,1.0,0.0,0.0,4.5,30,5.0,83,3.0,13.8,1.0,41.38148,1.0,358,13.1,128.0,4.7,2.18123
47,el Coll,4.7,4.9,11,2.0,365,4.89,3.0,2.0,4.64,18.0,2.0,0.0,0.3,4.6,6,4.54,41,4.0,2.0,6.7,41.41892,3.0,316,2.0,144.0,4.74,2.14871
48,la Dreta de l'Eixample,4.38,4.63,60,18.5,1125,4.8,4.0,6.7,4.7,9.0,3.0,0.0,0.0,4.5,30,4.8,90,6.0,13.8,1.0,41.39639,1.0,365,13.1,310.0,4.7,2.17641
49,"Sant Pere, Santa Caterina i la Ribera",4.49,4.69,58,4.0,333,4.69,3.0,1.0,4.47,73.0,2.0,0.0,0.0,4.38,28,4.9,88,4.0,3.0,2.0,41.38416,32.0,363,1.0,234.0,4.51,2.18257
50,la Dreta de l'Eixample,4.98,4.97,48,6.0,360,4.99,1.0,5.0,4.97,18.0,1.0,0.0,0.0,4.92,25,5.0,70,2.0,5.0,32.0,41.38992,3.0,338,5.0,133.4,4.98,2.16974
51,"Sant Pere, Santa Caterina i la Ribera",4.76,4.82,17,18.5,60,4.82,6.0,6.7,4.63,18.0,3.0,0.0,0.0,4.55,11,4.91,17,6.0,13.8,8.0,41.38203,2.0,18,54.0,133.4,4.71,2.18362
52,"Sant Pere, Santa Caterina i la Ribera",4.86,4.81,60,3.0,1125,4.88,0.0,1.0,4.75,18.0,1.0,1.0,0.0,4.63,30,4.93,90,2.0,2.0,0.0,41.38496,31.0,365,2.0,90.0,4.79,2.17982
53,el Camp d'en Grassot i Gràcia Nova,4.86,4.91,0,3.0,1125,4.91,1.0,1.0,4.74,67.0,1.0,0.0,0.0,4.71,0,4.8,0,2.0,1.0,0.0,41.408790588378906,13.5,0,1.0,47.0,4.86,2.1660659313201904
54,el Camp d'en Grassot i Gràcia Nova,4.22,4.8,41,108.0,1125,4.37,2.0,6.7,4.16,67.0,1.0,0.0,1.0,4.07,15,4.66,71,4.0,91.0,25.0,41.40271,1.0,292,68.0,94.0,4.28,2.16646
55,la Sagrada Família,4.55,4.61,19,19.0,32,4.59,6.0,19.0,4.42,18.0,3.0,0.0,1.0,4.4,6,4.84,46,3.0,19.0,15.0,41.40653,2.0,104,19.0,301.0,4.48,2.1746
56,la Sagrada Família,4.64,4.8,18,19.0,30,4.91,6.0,19.0,4.62,57.0,3.0,0.0,2.0,4.62,2,4.87,44,3.0,19.0,11.0,41.40647,2.0,102,19.0,294.0,4.64,2.17457
57,la Sagrada Família,4.65,4.61,11,19.0,28,4.77,5.0,19.0,4.61,62.0,3.0,0.0,1.0,4.56,4,4.9,38,3.0,19.0,12.0,41.40653,2.0,96,19.0,337.0,4.53,2.1746
58,Sants,4.94,4.94,14,1.0,1125,4.91,1.0,1.0,4.85,18.0,1.0,0.0,2.0,4.81,8,4.72,44,2.0,1.0,38.0,41.37155,3.0,319,1.0,157.0,4.89,2.13664
59,el Poblenou,4.68,4.69,16,2.0,330,4.79,3.0,2.0,4.66,18.0,3.0,0.0,0.3,4.57,11,4.84,46,6.0,2.0,19.0,41.39787,2.0,321,2.0,182.0,4.74,2.20429
60,Pedralbes,4.53,4.8,1,8.0,1125,4.77,1.0,0.0,4.61,18.0,1.0,3.0,1.0,4.59,1,4.79,1,1.0,3.0,4.0,41.38832,32.0,270,3.0,42.0,4.58,2.2
61,el Raval,4.44,4.84,9,14.0,31,4.86,4.0,1.0,4.48,18.0,2.0,0.0,0.3,4.52,6,4.65,31,4.0,5.0,6.7,41.3795,3.0,290,1.0,159.0,4.72,2.16568
62,la Nova Esquerra de l'Eixample,4.91,4.87,13,7.0,10,4.91,2.0,3.0,4.86,18.0,2.0,0.0,2.0,4.74,4,4.73,13,2.0,3.0,6.7,41.38268,2.0,78,3.0,155.0,4.92,2.15044
63,el Barri Gòtic,4.45,4.64,60,18.5,365,4.64,5.0,6.7,4.29,11.0,2.0,0.0,0.0,4.18,30,4.8,90,5.0,13.8,0.0,41.38035,2.0,365,13.1,270.0,4.7,2.17821
64,el Poble Sec,4.59,4.83,7,1.0,365,4.92,3.0,1.0,4.63,18.0,3.0,0.0,0.3,4.61,0,4.85,31,7.0,1.0,6.7,41.37374,1.0,300,1.0,174.0,4.7,2.15852
65,la Vila de Gràcia,4.73,4.77,0,1.0,1125,4.81,4.0,1.0,4.71,109.0,2.0,0.0,0.0,4.6,0,4.85,0,4.0,1.0,4.0,41.40413,31.0,155,1.0,110.0,4.75,2.15692
66,el Barri Gòtic,4.81,4.69,9,14.0,365,4.82,3.0,8.0,4.71,18.0,2.0,0.0,1.0,4.66,3,4.89,21,5.0,8.0,6.7,41.37973,1.0,130,8.0,297.0,4.59,2.17458
67,"Sant Pere, Santa Caterina i la Ribera",4.67,4.8,60,18.5,1125,5.0,2.0,6.7,5.0,3.0,1.0,0.0,0.0,4.33,30,5.0,90,4.0,13.8,0.0,41.3884,2.0,365,13.1,259.0,5.0,2.17936
68,la Sagrada Família,4.57,4.63,24,19.0,28,4.69,6.0,19.0,4.54,18.0,3.0,0.0,0.3,4.52,11,4.9,48,3.0,19.0,18.0,41.40653,2.0,106,19.0,308.0,4.55,2.1746
69,Sant Antoni,4.56,4.8,14,6.0,365,4.5,0.0,0.0,4.34,41.0,1.0,3.0,0.0,4.11,6,4.64,14,2.0,3.0,0.0,41.38189,3.0,14,3.0,71.0,4.7,2.15857
70,el Guinardó,4.19,4.73,14,1.0,1125,4.54,1.0,0.0,4.26,18.0,1.0,1.0,1.0,4.36,0,4.58,44,1.0,1.0,2.0,41.42337,31.0,319,1.0,17.0,4.53,2.1749
71,"Sant Pere, Santa Caterina i la Ribera",4.86,5.0,5,1.0,30,4.95,0.0,0.0,5.0,22.0,1.0,1.0,0.0,4.86,1,4.95,35,1.0,1.0,0.0,41.38706970214844,30.0,35,1.0,50.0,4.86,2.1768150329589844
72,el Putxet i el Farró,4.8,4.95,26,1.0,1125,4.94,5.0,1.0,4.81,96.0,1.5,0.0,2.0,4.59,11,4.76,26,3.0,1.0,2.0,41.40864,2.0,29,1.0,133.4,4.89,2.14557
73,la Dreta de l'Eixample,4.89,4.85,1,2.0,1125,4.88,4.0,2.0,4.84,18.0,2.0,0.0,1.0,4.76,0,4.96,7,4.0,2.0,6.7,41.39144,1.0,246,2.0,279.0,4.86,2.16128
74,el Fort Pienc,4.86,4.92,60,2.0,1125,4.92,1.0,0.0,4.8,116.0,1.0,2.0,0.0,4.76,30,4.83,90,1.0,2.0,0.0,41.39829,31.0,365,2.0,45.0,4.72,2.1812
75,la Vila de Gràcia,4.6,4.74,2,6.0,30,4.81,3.0,1.0,4.64,18.0,2.0,0.0,0.3,4.64,2,4.92,19,6.0,1.0,6.7,41.40002,2.0,191,1.0,145.0,4.77,2.1579
76,l'Antiga Esquerra de l'Eixample,4.79,4.88,38,16.0,365,4.83,2.0,7.0,4.59,52.0,2.0,0.0,0.0,4.44,15,4.69,68,3.0,8.0,4.0,41.3879153,1.0,96,7.0,311.0,4.71,2.1522402
77,la Sagrada Família,4.73,4.83,14,23.0,1124,4.85,4.0,21.0,4.65,18.0,2.0,0.0,0.3,4.59,8,4.81,28,5.0,22.0,26.0,41.40998,4.0,56,21.0,165.0,4.76,2.17553
78,el Barri Gòtic,4.75,4.86,7,1.0,62,4.87,1.0,0.0,4.79,18.0,1.0,1.0,1.0,4.76,7,4.91,10,1.0,1.0,7.0,41.37733,31.0,100,1.0,32.0,4.82,2.17651
79,la Dreta de l'Eixample,4.59,4.8,35,8.0,1124,4.71,3.0,4.0,4.66,109.0,0.0,0.0,1.0,4.44,14,4.89,65,4.0,4.0,27.0,41.38946,4.0,340,4.0,244.0,4.65,2.17593
80,l'Antiga Esquerra de l'Eixample,4.79,4.93,0,2.0,75,4.91,2.0,0.0,4.86,95.0,1.0,1.0,0.0,4.7,0,4.87,0,1.0,2.0,0.0,41.39202,31.0,0,1.0,128.0,4.82,2.15101
81,la Sagrada Família,4.61,4.76,16,19.0,30,4.75,6.0,19.0,4.52,71.0,3.0,0.0,1.0,4.56,5,4.93,46,6.0,19.0,8.0,41.4064,2.0,104,19.0,302.0,4.51,2.17449
82,el Clot,4.82,4.9,7,10.0,330,4.96,2.0,10.0,4.82,115.0,2.0,0.0,2.0,4.63,2,4.83,37,4.0,10.0,34.0,41.40671,3.0,71,10.0,162.0,4.88,2.18592
83,el Clot,4.68,4.96,15,10.0,330,4.96,3.0,10.0,4.75,69.0,2.0,0.0,0.3,4.62,6,4.84,45,3.0,10.0,21.0,41.40681,3.0,79,10.0,162.0,4.81,2.18553
84,el Raval,4.79,4.83,18,8.0,1125,4.87,2.0,4.0,4.79,18.0,1.0,0.0,0.3,4.61,0,4.71,48,4.0,4.0,35.0,41.38139,4.0,139,4.0,130.0,4.86,2.16692
85,el Fort Pienc,4.9,4.93,0,2.0,30,4.95,2.0,0.0,4.9,41.0,1.0,1.0,0.0,4.88,0,4.83,0,2.0,2.0,0.0,41.39937,1.0,0,1.0,128.0,4.9,2.17599
86,la Nova Esquerra de l'Eixample,4.91,4.95,36,2.0,730,4.91,1.0,0.0,4.86,18.0,1.0,2.0,0.0,4.7,10,4.81,36,2.0,2.0,6.0,41.37850578093848,3.0,36,2.0,82.0,4.82,2.151792572674604
87,el Barri Gòtic,4.7,4.89,58,5.0,1125,4.84,3.0,2.0,4.44,38.0,2.0,0.0,0.0,4.32,28,4.74,88,4.0,2.0,6.0,41.38046,31.0,363,2.0,201.0,4.5,2.17822
88,el Poble Sec,4.55,4.62,7,47.0,1124,4.7,4.0,45.0,4.55,18.0,1.5,0.0,0.0,4.57,4,4.77,23,3.0,45.0,39.0,41.37501,3.0,61,45.0,223.0,4.7,2.16009
89,la Dreta de l'Eixample,4.7,4.83,26,7.0,10,4.84,2.0,3.0,4.71,18.0,1.0,0.0,1.0,4.53,4,4.89,27,2.0,3.0,24.0,41.396084,2.0,96,3.0,153.0,4.81,2.168906
90,la Vila de Gràcia,4.94,4.93,8,7.0,1125,4.97,3.0,4.0,4.88,105.0,2.0,0.0,0.3,4.75,2,4.97,38,4.0,4.0,35.0,41.39822,3.0,128,4.0,245.0,4.9,2.16081
91,Sant Gervasi - Galvany,4.87,4.97,23,7.0,365,5.0,3.0,4.0,4.86,76.0,2.0,0.0,2.0,4.69,4,4.85,53,4.0,4.0,7.0,41.39871,3.0,143,4.0,231.0,4.89,2.15292
92,la Sagrada Família,4.5,4.61,10,19.0,28,4.64,6.0,19.0,4.44,36.0,3.0,0.0,0.3,4.42,4,4.81,30,3.0,19.0,13.0,41.40653,2.0,68,19.0,315.0,4.47,2.17455
93,la Dreta de l'Eixample,4.85,4.86,41,18.0,730,4.81,4.0,3.0,4.68,18.0,3.0,0.0,0.0,4.51,18,4.81,71,6.0,3.0,16.0,41.39258,2.0,346,3.0,133.4,4.6,2.17692
94,Pedralbes,5.0,4.8,0,2.0,15,5.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,0,5.0,0,2.0,1.0,0.0,41.38893,7.0,0,1.0,128.0,5.0,2.2
95,la Vila de Gràcia,4.9,4.92,8,7.0,365,4.92,3.0,4.0,4.91,96.0,2.0,0.0,0.3,4.71,4,4.84,32,4.0,4.0,35.0,41.3990403,4.0,300,4.0,246.0,4.9,2.1527793
96,el Parc i la Llacuna del Poblenou,4.53,4.81,37,6.0,150,4.89,1.0,0.0,4.66,18.0,1.0,2.0,2.0,4.7,7,4.68,67,1.0,5.0,39.0,41.40248,1.0,342,2.0,72.0,4.76,2.19668
97,el Poble Sec,4.605955597800259,4.717400013580498,0,1.0,1125,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,3.0,1.0,0.0,41.37227,1.0,0,1.0,128.0,4.639845192829983,2.16574
98,la Dreta de l'Eixample,4.7,4.76,31,111.0,1125,4.85,2.0,6.7,4.69,110.0,1.0,0.0,0.3,4.54,8,4.95,61,4.0,54.0,33.0,41.39776,1.0,101,54.0,228.0,4.8,2.16499
99,Sants,4.23,4.61,8,5.0,320,4.74,1.0,0.0,4.67,31.0,1.0,3.0,0.0,4.39,0,4.8,38,2.0,3.0,2.0,41.37349,31.0,38,3.0,50.0,4.29,2.13213
100,Sants - Badal,4.62,4.88,17,5.0,320,4.96,2.0,0.0,4.73,30.0,3.0,3.0,0.0,4.73,6,4.88,47,2.0,3.0,3.0,41.37811,31.0,47,3.0,28.0,4.65,2.12804
101,el Poble Sec,4.95,4.96,11,21.0,18,4.97,1.0,16.0,4.96,18.0,1.0,1.0,1.0,4.85,1,4.83,41,2.0,20.0,6.7,41.37243,5.0,79,17.0,237.0,4.96,2.16542
102,el Camp d'en Grassot i Gràcia Nova,4.27,4.48,13,111.0,1125,4.71,3.0,6.7,4.24,94.0,2.0,0.0,1.0,4.05,13,4.72,13,5.0,54.0,27.0,41.40385,1.0,33,54.0,188.0,4.39,2.1691
103,la Sagrada Família,4.25,4.72,49,111.0,1125,4.79,2.0,6.7,4.43,18.0,1.0,0.0,0.3,4.36,19,4.9,79,4.0,54.0,16.0,41.40347,1.0,131,54.0,350.0,4.5,2.17157
104,l'Antiga Esquerra de l'Eixample,4.92,4.99,3,11.0,27,4.96,5.0,2.0,4.95,18.0,1.5,0.0,2.0,4.9,0,4.93,23,3.0,3.0,6.7,41.38842,2.0,282,2.0,133.4,4.93,2.16108
105,la Sagrada Família,4.61,4.65,22,19.0,32,4.69,2.2,19.0,4.51,18.0,1.5,0.0,0.3,4.46,6,4.86,52,3.0,19.0,31.0,41.4066,2.0,110,19.0,311.0,4.42,2.17459
106,el Parc i la Llacuna del Poblenou,4.46,4.8,17,6.0,1125,4.78,1.0,0.0,4.63,18.0,1.0,2.0,1.0,4.61,2,4.64,47,1.0,5.0,35.0,41.4016,5.0,322,2.0,74.0,4.71,2.19424
107,el Baix Guinardó,4.24,4.7,49,111.0,1125,4.75,1.0,6.7,4.16,93.0,1.0,0.0,0.3,4.06,19,4.53,79,2.0,54.0,30.0,41.41011,1.0,119,54.0,173.0,4.49,2.16976
108,el Barri Gòtic,4.7,4.83,0,18.5,330,4.58,2.0,39.0,4.7,12.0,1.0,3.0,0.0,4.08,0,4.83,0,3.0,42.0,1.0,41.38355,32.0,218,42.0,46.0,4.7,2.17156
109,el Barri Gòtic,4.63,4.88,28,124.0,160,5.0,2.0,24.0,5.0,8.0,2.0,0.7,0.0,4.75,7,5.0,58,4.0,34.0,3.0,41.37948,32.0,333,34.0,100.0,5.0,2.17666
110,la Dreta de l'Eixample,4.85,4.85,22,2.0,30,4.95,2.0,1.0,4.92,18.0,2.0,0.0,0.3,4.8,2,4.97,52,3.0,1.0,40.0,41.39795,5.0,84,1.0,280.0,4.9,2.17166
111,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,60,18.5,365,5.0,2.0,6.7,4.75,4.0,3.0,0.0,0.0,4.25,30,4.75,90,6.0,13.8,1.0,41.38467,1.0,365,13.1,128.0,4.75,2.18016
112,el Fort Pienc,4.91,4.97,0,2.0,1125,4.97,1.0,0.0,4.91,86.0,1.0,2.0,0.0,4.92,0,4.91,0,2.0,2.0,0.0,41.39774,31.0,5,2.0,60.0,4.92,2.18218
113,l'Antiga Esquerra de l'Eixample,4.83,4.96,15,2.0,91,4.96,2.0,2.0,4.9,18.0,2.0,0.0,2.0,4.74,4,4.95,45,2.0,2.0,6.7,41.39161,5.0,46,2.0,209.0,4.9,2.15782
114,la Vila de Gràcia,4.71,4.84,10,17.0,330,4.82,2.0,1.0,4.53,18.0,1.0,0.0,0.0,4.51,6,4.71,40,3.0,1.0,7.0,41.40661,31.0,40,1.0,41.0,4.58,2.15115
115,Diagonal Mar i el Front Marítim del Poblenou,4.58,4.75,8,39.0,365,4.88,6.0,11.0,4.72,18.0,1.5,0.0,1.0,4.67,4,4.83,33,3.0,16.0,23.0,41.40805,2.0,61,11.0,133.4,4.85,2.2
116,la Vila de Gràcia,4.79,4.78,7,13.0,180,4.82,2.0,3.0,4.74,18.0,2.0,0.0,0.3,4.72,0,4.9,33,4.0,5.0,6.7,41.39877,4.0,247,3.0,166.0,4.82,2.15887
117,el Congrés i els Indians,4.86,4.94,10,2.0,1125,4.91,3.0,2.0,4.6,35.0,3.0,0.0,0.0,4.69,4,4.54,15,4.0,2.0,6.0,41.42257,7.0,233,2.0,160.0,4.77,2.18047
118,la Sagrada Família,4.57,4.57,59,18.5,1125,4.71,5.0,6.7,4.2,7.0,2.0,0.0,0.0,4.5,29,4.71,89,5.0,13.8,1.0,41.40376,1.0,364,13.1,259.0,4.29,2.17292
