,neighbourhood_cleansed,review_scores_cleanliness,review_scores_checkin,availability_60,host_total_listings_count,maximum_nights,review_scores_communication,beds,calculated_host_listings_count_entire_homes,review_scores_rating,number_of_reviews,bedrooms,calculated_host_listings_count_private_rooms,number_of_reviews_l30d,review_scores_value,availability_30,review_scores_location,availability_90,accommodates,host_listings_count,number_of_reviews_ltm,latitude,minimum_nights,availability_365,calculated_host_listings_count,price,review_scores_accuracy,longitude
2474,el Barri Gòtic,4.91,4.9,4,17.0,1125,4.89,3.0,15.0,4.81,18.0,3.0,0.0,1.0,4.67,2,4.95,8,5.0,16.0,24.0,41.38296,3.0,89,15.0,172.0,4.94,2.1789
2475,la Sagrada Família,4.91,4.94,0,2.0,1125,4.8,2.0,0.0,4.76,18.0,1.0,2.0,0.0,4.8,0,4.96,0,2.0,2.0,0.0,41.40304,1.0,0,2.0,128.0,4.88,2.17192
2476,la Nova Esquerra de l'Eixample,4.77,4.73,0,2.0,1125,4.44,2.0,0.0,4.4,88.0,1.0,2.0,0.0,4.4,0,4.66,0,1.0,2.0,0.0,41.38008,1.0,0,2.0,128.0,4.45,2.14783
2477,la Dreta de l'Eixample,4.7,5.0,0,1.0,60,5.0,2.0,1.0,4.7,1.0,1.5,0.0,0.0,4.0,0,5.0,0,7.0,1.0,0.0,41.39794,31.0,0,1.0,128.0,4.7,2.16197
2478,la Marina de Port,4.73,4.45,7,9.0,60,4.55,1.0,0.0,4.64,11.0,1.0,0.7,0.0,4.55,0,4.8,37,1.0,6.0,1.0,41.35894,31.0,127,6.0,25.0,4.64,2.13858
2479,Sant Antoni,5.0,5.0,0,2.0,4,5.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,0,5.0,0,2.0,1.0,0.0,41.38239,1.0,0,1.0,128.0,5.0,2.16182
2480,Sants,4.9,4.98,1,1.0,30,4.99,3.0,1.0,4.78,101.0,2.0,0.0,2.0,4.71,1,4.73,1,4.0,1.0,4.0,41.37703,5.0,5,1.0,180.0,4.85,2.13183
2481,el Raval,4.48,4.81,0,2.0,1125,4.83,2.0,0.0,4.62,18.0,2.0,1.0,0.0,4.58,0,4.68,0,2.0,1.0,0.0,41.38248,13.5,0,1.0,128.0,4.72,2.16567
2482,el Barri Gòtic,5.0,5.0,0,1.0,1125,5.0,2.0,0.0,4.7,1.0,1.0,1.0,0.0,5.0,0,5.0,0,2.0,1.0,0.0,41.38187,3.0,0,1.0,128.0,5.0,2.17601
2483,"Sant Pere, Santa Caterina i la Ribera",4.39,4.93,0,2.0,1125,4.86,1.0,0.0,4.64,28.0,1.0,1.0,0.0,4.75,0,5.0,0,1.0,1.0,2.0,41.38536,30.0,76,1.0,25.0,4.64,2.17804
2484,Sant Antoni,4.86,4.82,21,17.0,31,4.87,4.0,13.0,4.8,18.0,2.0,0.0,0.0,4.65,5,4.9,51,5.0,13.0,21.0,41.38256,5.0,231,13.0,235.0,4.84,2.16347
2485,la Vila de Gràcia,4.605955597800259,4.717400013580498,0,1.0,1125,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,1.0,1.0,0.0,41.40092,3.0,0,1.0,128.0,4.639845192829983,2.15479
2486,la Nova Esquerra de l'Eixample,4.76,4.93,15,1.0,1125,4.96,4.0,1.0,4.74,18.0,3.0,0.0,1.0,4.67,9,4.76,45,5.0,1.0,17.0,41.38388,7.0,290,1.0,205.0,4.83,2.14284
2487,el Raval,4.605955597800259,4.717400013580498,0,2.0,1125,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,3.0,1.0,0.0,41.38138,1.0,0,1.0,128.0,4.639845192829983,2.16576
2488,el Raval,4.605955597800259,4.717400013580498,0,1.0,60,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,2.0,1.0,0.0,41.37794,1.0,0,1.0,128.0,4.639845192829983,2.16837
2489,"Sant Pere, Santa Caterina i la Ribera",4.92,4.97,14,3.0,365,4.96,1.0,0.0,4.84,18.0,1.0,2.0,0.0,4.77,14,4.96,14,2.0,3.0,3.0,41.38884,32.0,271,2.0,36.0,4.93,2.18063
2490,el Poble Sec,4.7,4.82,0,2.0,1125,4.86,2.0,0.0,4.6,115.0,1.0,2.0,0.0,4.53,0,4.75,0,3.0,2.0,0.0,41.37049,3.0,0,2.0,128.0,4.57,2.16433
2491,el Camp d'en Grassot i Gràcia Nova,4.82,4.94,0,1.0,8,4.94,2.0,0.0,4.82,17.0,1.0,1.0,0.0,4.82,0,4.94,0,2.0,1.0,0.0,41.40368,2.0,0,1.0,128.0,4.94,2.16431
2492,"Sant Pere, Santa Caterina i la Ribera",4.59,4.59,40,31.0,1124,4.72,2.0,15.0,4.63,32.0,3.0,1.0,1.0,4.41,16,4.84,67,6.0,20.0,9.0,41.38746,2.0,134,16.0,128.0,4.66,2.17428
2493,la Sagrada Família,4.64,4.91,0,1.0,1125,4.83,1.0,0.0,4.69,18.0,1.0,1.0,1.0,4.66,0,4.83,0,1.0,1.0,2.0,41.40274,31.0,243,1.0,35.0,4.79,2.17808
2494,Sant Andreu,4.93,4.95,0,4.0,32,4.95,2.0,0.0,4.84,18.0,1.0,1.0,0.0,4.86,0,4.6,0,3.0,1.0,0.0,41.4,32.0,0,1.0,128.0,4.92,2.1933
2495,l'Antiga Esquerra de l'Eixample,4.89,4.73,17,4.0,1124,4.71,4.0,1.0,4.71,80.0,1.5,0.0,0.0,4.62,1,4.71,44,7.0,1.0,5.0,41.3912,3.0,307,1.0,133.4,4.72,2.14922
2496,la Sagrera,4.7,5.0,0,2.0,1125,5.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,4.0,0,5.0,0,1.0,1.0,0.0,41.42226,1.0,0,1.0,128.0,4.7,2.1915
2497,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,0,1.0,1125,5.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,0,4.8,0,2.0,1.0,0.0,41.38797,1.0,0,1.0,128.0,5.0,2.17713
2498,Vilapicina i la Torre Llobeta,4.42,4.85,0,2.0,1125,4.92,2.0,0.0,4.46,13.0,1.0,2.0,0.0,4.54,0,4.54,0,1.0,2.0,0.0,41.42888,3.0,0,2.0,128.0,4.67,2.17871
2499,el Poblenou,4.4,4.82,53,22.0,60,4.91,2.0,10.0,4.5,80.0,2.0,0.0,1.0,4.27,23,4.59,83,4.0,13.0,21.0,41.39705,6.0,83,10.0,203.0,4.63,2.202
2500,l'Antiga Esquerra de l'Eixample,4.81,4.94,37,13.0,180,4.81,3.0,0.0,4.75,16.0,1.0,0.7,1.0,4.75,16,4.88,65,3.0,6.0,2.0,41.39312,1.0,87,6.0,275.0,4.56,2.15743
2501,el Camp d'en Grassot i Gràcia Nova,4.605955597800259,4.717400013580498,0,1.0,1125,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,2.0,1.0,0.0,41.40818,1.0,0,1.0,128.0,4.639845192829983,2.16276
2502,Vallcarca i els Penitents,4.96,4.91,9,5.0,90,4.96,1.0,0.0,4.87,18.0,1.0,1.0,0.3,4.79,8,4.83,9,2.0,1.0,20.0,41.41222740590799,31.0,179,1.0,60.0,4.89,2.142621040668771
2503,la Marina de Port,4.77,4.89,16,9.0,120,4.94,1.0,0.0,4.63,84.0,1.0,0.7,0.0,4.6,0,4.67,46,1.0,6.0,3.0,41.35782,31.0,136,6.0,33.0,4.74,2.137
2504,la Marina de Port,4.73,4.87,16,9.0,180,4.86,1.0,0.0,4.56,71.0,1.0,0.7,0.0,4.57,0,4.53,46,1.0,6.0,2.0,41.36002,31.0,136,6.0,30.0,4.65,2.13846
2505,la Marina de Port,4.68,4.79,16,9.0,120,4.79,1.0,0.0,4.62,68.0,1.0,0.7,0.0,4.63,0,4.54,46,1.0,6.0,0.0,41.35862,31.0,136,6.0,24.0,4.66,2.13642
2506,el Poble Sec,4.605955597800259,4.717400013580498,0,3.0,1125,4.713566191446029,2.0,0.0,4.587361346819633,0.0,2.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,2.0,1.0,0.0,41.37182,2.0,0,1.0,128.0,4.639845192829983,2.16081
2507,el Fort Pienc,4.98,4.98,10,5.0,1125,4.98,4.0,2.0,4.91,18.0,3.0,0.0,0.3,4.86,1,4.95,37,3.0,2.0,6.7,41.39354,3.0,287,2.0,133.4,4.96,2.17791
2508,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,0,1.0,1125,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,2.0,1.0,0.0,41.39293,1.0,0,1.0,128.0,4.639845192829983,2.16027
2509,Sants,4.83,4.87,3,12.0,1125,4.83,4.0,7.0,4.83,18.0,1.0,0.0,0.3,4.75,1,4.73,22,4.0,7.0,6.7,41.38144,2.0,284,7.0,107.0,4.91,2.13809
2510,Sants,4.78,4.9,7,12.0,1125,4.85,4.0,7.0,4.81,18.0,1.0,0.0,0.0,4.68,4,4.78,30,4.0,7.0,6.7,41.38162,2.0,288,7.0,121.0,4.89,2.13756
2511,el Raval,4.3,4.4,0,2.0,1125,4.9,2.0,0.0,4.6,10.0,1.0,1.0,0.0,4.7,0,4.8,0,2.0,1.0,0.0,41.37981,3.0,0,1.0,128.0,4.6,2.16619
2512,el Barri Gòtic,4.7,4.5,0,2.0,1125,4.5,2.0,0.0,4.5,2.0,1.0,1.0,0.0,4.5,0,5.0,0,2.0,1.0,0.0,41.38224,2.0,0,1.0,128.0,4.5,2.17536
2513,la Dreta de l'Eixample,4.89,4.93,11,6.0,360,4.95,1.0,1.0,4.93,44.0,1.0,2.0,1.0,4.84,4,4.98,11,2.0,5.0,8.0,41.39312,31.0,118,3.0,80.0,4.91,2.15974
2514,el Poble Sec,4.7,4.69,0,2.0,1125,4.76,2.0,0.0,4.47,111.0,1.0,2.0,0.0,4.42,0,4.66,0,2.0,2.0,0.0,41.37007,2.0,0,2.0,128.0,4.3,2.16442
2515,la Barceloneta,4.75,4.91,18,2.0,730,4.88,1.0,0.0,4.74,112.0,1.0,1.0,0.0,4.75,13,4.91,26,1.0,1.0,14.0,41.37932,5.0,192,1.0,74.0,4.8,2.18798
2516,el Camp de l'Arpa del Clot,4.93,4.94,7,8.0,31,4.97,1.0,7.0,4.96,18.0,1.0,0.0,0.3,4.88,0,4.65,21,2.0,7.0,6.7,41.41163247402307,3.0,193,7.0,231.0,4.97,2.1793856352115912
2517,la Sagrada Família,4.94,4.95,0,2.0,1125,4.84,2.0,0.0,4.76,18.0,2.0,2.0,0.0,4.78,0,4.95,0,2.0,2.0,0.0,41.40494,1.0,0,2.0,128.0,4.9,2.17163
2518,les Corts,5.0,5.0,0,1.0,1125,4.75,2.0,0.0,4.25,8.0,1.0,1.0,0.0,4.75,0,4.75,0,2.0,1.0,0.0,41.39036,1.0,0,1.0,128.0,4.75,2.13974
2519,la Dreta de l'Eixample,4.81,4.93,54,37.0,30,4.96,3.0,22.0,4.78,118.0,3.0,0.0,0.0,4.7,26,4.88,80,3.0,34.0,13.0,41.39542,1.0,80,22.0,348.0,4.74,2.16766
2520,l'Antiga Esquerra de l'Eixample,4.98,4.85,17,3.0,1125,4.88,4.0,1.0,4.88,48.0,1.5,0.0,2.0,4.79,1,4.79,44,7.0,1.0,29.0,41.3925,3.0,307,1.0,133.4,4.88,2.1494
2521,Sant Martí de Provençals,4.56,4.78,0,2.0,60,4.89,2.0,0.0,4.89,9.0,1.0,1.0,0.0,4.78,0,4.8,0,1.0,2.0,0.0,41.41426,2.0,0,1.0,128.0,4.89,2.20089
2522,Sant Antoni,4.79,4.8,8,2.0,1125,4.82,1.0,0.0,4.77,104.0,0.0,1.0,0.3,4.77,1,4.93,8,1.0,1.0,29.0,41.37673,1.0,11,1.0,46.0,4.71,2.15781
2523,el Raval,5.0,5.0,0,3.0,365,5.0,2.0,1.0,5.0,5.0,2.0,1.0,0.0,4.8,0,5.0,0,3.0,2.0,1.0,41.381458,31.0,248,2.0,85.0,5.0,2.172388
2524,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,0,2.0,1125,5.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,0,5.0,0,1.0,1.0,0.0,41.38352,1.0,0,1.0,128.0,5.0,2.18062
2525,la Dreta de l'Eixample,4.92,4.97,14,12.0,365,4.91,4.0,12.0,4.94,18.0,3.0,0.0,1.0,4.77,1,4.95,29,6.0,12.0,30.0,41.39196,1.0,196,12.0,133.4,4.95,2.17377
2526,la Dreta de l'Eixample,4.89,4.82,20,11.0,1125,4.86,3.0,7.0,4.86,28.0,1.0,0.0,0.0,4.61,8,4.79,47,4.0,7.0,4.0,41.39127,1.0,58,7.0,133.4,4.68,2.17303
2527,la Nova Esquerra de l'Eixample,4.68,4.73,39,4.0,1125,4.7,1.0,0.0,4.47,18.0,1.0,2.0,1.0,4.4,17,4.76,69,1.0,3.0,11.0,41.37899,13.5,344,2.0,70.0,4.61,2.1509
2528,la Dreta de l'Eixample,4.57,4.93,59,4.0,1125,4.86,4.0,0.0,4.36,14.0,1.0,0.0,0.0,4.14,29,4.71,71,4.0,4.0,7.0,41.38775,1.0,71,4.0,138.0,4.71,2.16499
2529,el Raval,4.54,4.73,60,4.0,1125,4.78,5.0,0.0,4.57,37.0,1.0,0.0,0.0,4.41,30,4.73,72,5.0,4.0,13.0,41.38556,1.0,72,4.0,173.0,4.59,2.16686
2530,l'Antiga Esquerra de l'Eixample,4.48,4.64,57,4.0,1125,4.55,6.0,0.0,4.32,56.0,1.0,0.0,0.0,4.27,27,4.77,69,6.0,4.0,16.0,41.38714,1.0,69,4.0,207.0,4.46,2.16505
2531,la Dreta de l'Eixample,4.59,4.81,60,4.0,1125,4.79,2.2,0.0,4.59,18.0,1.0,0.0,0.3,4.43,30,4.87,72,3.0,4.0,6.7,41.38607,1.0,72,4.0,237.0,4.72,2.16742
2532,el Barri Gòtic,5.0,5.0,0,2.0,1125,5.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,0,5.0,0,2.0,1.0,0.0,41.38133,1.0,0,1.0,128.0,5.0,2.17431
2533,el Congrés i els Indians,4.7,5.0,0,2.0,1125,5.0,2.0,0.0,4.7,1.0,1.0,2.0,0.0,5.0,0,5.0,0,2.0,2.0,0.0,41.42662,1.0,0,2.0,128.0,4.7,2.17884
2534,Vallcarca i els Penitents,4.605955597800259,4.717400013580498,0,3.0,40,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,0,4.742934066680247,0,2.0,1.0,0.0,41.41435,5.0,0,1.0,128.0,4.639845192829983,2.1434
