,review_scores_accuracy,review_scores_accuracy,review_scores_location,host_total_listings_count,number_of_reviews,latitude,longitude,availability_60,availability_30,bedrooms,calculated_host_listings_count_entire_homes,accommodates,calculated_host_listings_count_private_rooms,minimum_nights,number_of_reviews_l30d,availability_90,beds,review_scores_rating,maximum_nights,review_scores_cleanliness,review_scores_communication,host_listings_count,review_scores_checkin,availability_365,number_of_reviews_ltm,review_scores_value,calculated_host_listings_count
27,4.66,4.66,4.75,1.0,32.0,19.43514,-99.18361,37,23,1.0,1.0,2.0,0.0,1.6,0.0,37,1.0,4.59,1125,4.69,4.72,1.0,4.81,214,4.0,4.5,1.0
28,4.93,4.93,4.96,7.0,27.0,19.43179,-99.19426,28,18,1.0,3.0,2.0,0.0,1.0,5.0,39,1.0,4.89,1125,4.89,4.87,5.0,4.97,302,45.0,4.8,3.0
29,5.0,5.0,5.0,10.0,2.0,19.34356,-99.1286,0,0,1.0,1.0,2.0,4.0,2.0,0.0,0,1.0,5.0,1125,5.0,5.0,6.0,5.0,267,1.0,5.0,5.0
30,4.88,4.88,4.9,2.0,26.0,19.39165,-99.18885,0,0,1.0,0.0,2.0,2.0,3.0,0.0,0,1.0,4.88,1125,5.0,4.96,2.0,4.88,0,0.0,4.77,2.0
31,4.62,4.62,4.96,3.0,29.0,19.4059,-99.17548,17,0,1.0,1.0,2.0,0.0,3.0,0.0,47,1.0,4.61,1125,4.8,4.86,1.0,4.79,322,1.0,4.46,1.0
32,4.88,4.88,4.88,13.0,27.0,19.4236,-99.16979,39,9,1.0,2.0,3.0,0.0,1.0,0.0,69,2.0,4.84,90,4.86,4.94,12.0,4.94,344,23.0,4.82,2.0
33,4.85,4.85,4.89,13.0,27.0,19.42335,-99.16963,0,0,1.0,2.0,2.0,0.0,1.0,1.0,30,1.0,4.88,90,4.89,4.94,12.0,4.95,305,26.0,4.85,2.0
34,4.95,4.95,4.99,7.0,134.0,19.43516,-99.13806,24,14,1.0,2.0,1.0,0.0,3.0,1.0,47,1.0,4.9,30,4.97,4.95,2.0,4.98,300,24.0,4.94,2.0
35,4.29,4.9,4.71,7.0,22.0,19.41472,-99.15602,11,0,1.0,2.0,1.0,2.0,1.6,0.0,11,2.0,4.8,365,4.8,4.9,5.0,4.65,247,2.0,4.8,4.0
36,4.91,4.91,4.78,8.0,27.0,19.40674,-99.18753,17,9,1.4,5.0,2.9,2.0,2.0,0.0,30,1.6,4.91,365,4.89,4.94,7.0,4.92,259,2.0,4.91,7.0
37,5.0,5.0,5.0,2.0,13.0,19.42485,-99.17797,0,0,0.0,1.0,2.0,0.0,1.6,0.0,0,1.0,4.92,365,5.0,5.0,1.0,5.0,267,0.0,5.0,1.0
38,4.793877426390403,4.793877426390403,4.845981243184297,1.0,0.0,19.38229,-99.12744,0,0,1.5696453569762017,1.0,2.0,0.0,1.6,0.0,0,1.9678361335646877,4.757116810608044,365,4.761881788440568,4.829862595419848,1.0,4.843370556161396,0,0.0,4.725268047982552,1.0
39,4.69,4.69,4.67,1.0,36.0,19.39829,-99.13817,57,27,1.0,1.0,2.0,0.0,1.6,0.0,87,1.0,4.58,150,4.8,4.67,1.0,4.83,87,0.0,4.42,1.0
40,5.0,5.0,5.0,3.0,2.0,19.40288,-99.17884,60,30,1.0,0.0,2.0,1.0,2.0,0.0,90,1.0,5.0,1125,5.0,5.0,1.0,5.0,365,1.0,5.0,1.0
41,4.78,4.78,4.9,11.0,27.0,19.44324,-99.14649,26,9,1.4,3.0,2.9,3.0,1.0,0.0,53,1.6,4.83,1125,4.75,4.97,10.0,4.94,316,1.0,4.79,6.0
42,4.9,4.9,4.85,5.0,133.0,19.38015,-99.17402,4,3,0.0,2.0,2.0,0.0,1.6,4.0,34,2.0,4.79,1125,4.88,4.89,3.0,4.94,309,6.0,4.79,2.0
